RandF,CAWPE,AdaBoost,XGBoost,LogitBoost,Bagging
4551.548875 ,3250.441975,68.402332,872.765914,1765.955606,138.44627
4706.173613 ,3347.819912,61.762181,868.160112,1470.475199,156.866165
5050.062971 ,3130.815046,60.391858,865.746644,1509.9946,131.178933
3710.487331 ,3399.463034,67.80879,972.913029,1456.092047,124.42788
4400.712891 ,3382.716952,69.902073,988.605084,1300.120239,129.48543
4262.644152 ,3082.111438,94.191544,877.392196,1323.395781,141.338553
3061.767238 ,3064.495665,65.263775,841.206749,1272.279372,133.173122
2322.869245 ,3498.898054,161.340378,753.145019,3779.732356,267.203872
2171.257525 ,5622.64486,161.521137,835.685199,3878.05428,218.557994
2098.626751 ,5375.805691,157.570636,800.163888,3474.332627,223.755303
2441.692619 ,5367.513982,166.190732,858.62156,4026.991291,268.523363
2740.805965 ,5044.468227,169.901893,748.623574,4216.948582,222.98087
2663.730331 ,5346.907939,165.293303,673.758024,4045.907718,201.218698
2591.785031 ,5543.3466,168.511762,710.048308,4489.904762,201.515164
5282.370068 ,3670.846442,179.985149,767.94912,4479.808258,204.155903
5786.11721 ,5062.287222,167.56278,795.012929,4496.049057,216.638958
5463.612189 ,5782.009534,168.791846,770.809734,4520.400972,205.332438
4924.038346 ,5506.275834,194.44802,835.423592,4628.746591,222.686329
4167.631871 ,5218.81548,183.781627,734.330741,4557.594933,162.769895
5759.762501 ,5278.291818,168.527465,809.194098,4556.326291,180.817075
4986.707056 ,6237.440601,169.667444,811.82992,3526.930257,171.88523
4860.770734 ,5452.800865,169.700543,719.056819,3420.940678,161.765994
4211.068262 ,5960.802576,155.904354,742.640981,3481.190106,166.078738
4970.396557 ,6677.744942,183.30389,792.872284,3628.115368,231.856632
2684.051537 ,6370.838644,190.768977,819.638889,3559.237484,235.188896
2542.859566 ,6622.250726,176.300096,770.214352,3421.309121,229.347393
2204.513702 ,6614.324914,177.765857,798.696645,3463.693698,225.876747
2423.459855 ,6521.159481,177.303825,855.522012,3540.480541,270.903527
4763.609578 ,7315.585369,182.824217,921.754521,3664.564216,229.965122
4755.41345 ,6370.505084,182.135539,727.646465,3552.512329,222.746057
